ops/sec(cum)	p50(ms)	p99(ms)	skews
97864.90000000001	4.24	25.820000000000004	0
97864.90000000001	4.24	25.820000000000004	0
97864.90000000001	4.24	25.820000000000004	0
99856.4	3.0599999999999996	18.880000000000003	0.1
99856.4	3.0599999999999996	18.880000000000003	0.1
99856.4	3.0599999999999996	18.880000000000003	0.1
100836.5	2.8199999999999994	17.419999999999998	0.2
100836.5	2.8199999999999994	17.419999999999998	0.2
100836.5	2.8199999999999994	17.419999999999998	0.2
99917.5	4.279999999999999	27.46	0.3
99917.5	4.279999999999999	27.46	0.3
99917.5	4.279999999999999	27.46	0.3
95890.7	6.460000000000001	40.660000000000004	0.4
95890.7	6.460000000000001	40.660000000000004	0.4
95890.7	6.460000000000001	40.660000000000004	0.4
99878.7	3.9799999999999995	26.020000000000003	0.5
99878.7	3.9799999999999995	26.020000000000003	0.5
99878.7	3.9799999999999995	26.020000000000003	0.5
99702.3	3.66	22.639999999999997	0.6
99702.3	3.66	22.639999999999997	0.6
99702.3	3.66	22.639999999999997	0.6
104722.6	4.4	35.44	0.7
104722.6	4.4	35.44	0.7
104722.6	4.4	35.44	0.7
96723.9	2.74	19.48	0.8
96723.9	2.74	19.48	0.8
96723.9	2.74	19.48	0.8
92057.9	3.3	32.9	0.9
92057.9	3.3	32.9	0.9
92057.9	3.3	32.9	0.9
109427.0	1.05	5.5	0.99
109427.0	1.05	5.5	0.99
109427.0	1.05	5.5	0.99
103848.29999999999	1.1	7.6	1.1
103848.29999999999	1.1	7.6	1.1
103848.29999999999	1.1	7.6	1.1
92655.20000000001	1.0	8.5	1.2
88736.20000000001	1.0	8.0	1.2
88736.20000000001	1.0	8.0	1.2
92655.20000000001	1.0	8.5	1.2
88736.20000000001	1.0	8.0	1.2
92655.20000000001	1.0	8.5	1.2
67325.5	1.0	11.0	1.4
67325.5	1.0	11.0	1.4
67325.5	1.0	11.0	1.4
57459.600000000006	1.05	17.049999999999997	1.5
57459.600000000006	1.05	17.049999999999997	1.5
57459.600000000006	1.05	17.049999999999997	1.5
