ops/sec(cum)	p50(ms)	p99(ms)	skews
23553.700000000004	2.6624999999999996	12.325	0
23570.6	2.65	12.6375	0.1
23392.4	2.45	9.1875	0.2
23672.5	2.6375	12.974999999999998	0.3
23886.0	2.625	19.125	0.4
23319.699999999997	2.6375	13.925	0.5
22504.3	2.35	7.9125	0.6
22352.899999999998	2.6250000000000004	24.65	0.7
21257.600000000002	2.35	17.9375	0.8
19321.600000000002	2.05	259.2375	0.9
15820.499999999998	2.025	11.6	0.99
11051.0	2.9000000000000004	74.45	1.1
8138.5	3.5875000000000004	73.4	1.2
6288.8	5.025	939.5	1.3
5320.5	5.025	352.30000000000007	1.4
5036.7	4.8375	151.0	1.5
