concurrency	ops/sec(cum)	p50(ms)	p99(ms)	read_tp	read_p50	read_p99	write_tp	write_p50	write_p99
6.0	217129.96666666665	0.17192857142857143	0.5945714285714285	207482.05	0.17142857142857143	0.5945714285714285	9646.916666666668	0.17242857142857143	0.5995714285714285
6	217129.96666666665	0.17192857142857143	0.5945714285714285	207482.05	0.17142857142857143	0.5945714285714285	9646.916666666668	0.17242857142857143	0.5995714285714285
7.0	243312.9	0.179	0.63	232462.4	0.17857142857142858	0.63	10849.5	0.1794285714285714	0.6308571428571429
7.0	243312.9	0.179	0.63	232462.4	0.17857142857142858	0.63	10849.5	0.1794285714285714	0.6308571428571429
7	243312.9	0.179	0.63	232462.4	0.17857142857142858	0.63	10849.5	0.1794285714285714	0.6308571428571429
7	241505.83333333334	0.17935714285714285	0.625	231026.95	0.179	0.625	10477.883333333333	0.17971428571428572	0.6211428571428571
8.0	260279.41666666666	0.18785714285714286	0.6787142857142857	249058.0	0.18742857142857142	0.6787142857142857	11220.416666666666	0.18828571428571428	0.6724285714285715
8	260279.41666666666	0.18785714285714286	0.6787142857142857	249058.0	0.18742857142857142	0.6787142857142857	11220.416666666666	0.18828571428571428	0.6724285714285715
8	256420.21666666667	0.19121428571428573	0.6732857142857143	245347.10000000003	0.191	0.6732857142857143	11072.116666666667	0.19142857142857142	0.665
9	259853.7666666666	0.20878571428571427	0.7417142857142857	248656.06666666662	0.20857142857142857	0.7417142857142857	11196.699999999999	0.209	0.7342857142857143
10.0	265329.4333333334	0.22007142857142858	0.8598571428571429	253957.10000000003	0.21985714285714286	0.8598571428571429	11371.333333333334	0.22028571428571428	0.8525714285714285
10	265329.4333333334	0.22007142857142858	0.8598571428571429	253957.10000000003	0.21985714285714286	0.8598571428571429	11371.333333333334	0.22028571428571428	0.8525714285714285
10	264330.7	0.2205	0.892	253012.05000000005	0.22042857142857142	0.892	11317.649999999998	0.22057142857142856	0.8775714285714286
11.0	253442.23333333337	0.244	1.0215714285714286	242273.99999999994	0.24385714285714286	1.0215714285714286	11167.233333333334	0.24414285714285713	1.0025714285714287
11.0	253442.23333333337	0.244	1.0215714285714286	242273.99999999994	0.24385714285714286	1.0215714285714286	11167.233333333334	0.24414285714285713	1.0025714285714287
11	253442.23333333337	0.244	1.0215714285714286	242273.99999999994	0.24385714285714286	1.0215714285714286	11167.233333333334	0.24414285714285713	1.0025714285714287
11	252824.51666666666	0.24457142857142858	1.020142857142857	241930.0833333333	0.24457142857142858	1.020142857142857	10893.433333333334	0.24457142857142858	1.0007142857142857
12.0	235853.11666666667	0.2657857142857143	1.2882857142857143	225668.93333333335	0.26542857142857146	1.2882857142857143	10183.183333333332	0.2661428571428572	1.2637142857142858
12	235853.11666666667	0.2657857142857143	1.2882857142857143	225668.93333333335	0.26542857142857146	1.2882857142857143	10183.183333333332	0.2661428571428572	1.2637142857142858
