ops/sec(cum)	p50(ms)	p99(ms)	skews
160684.9	1.2875	4.4125	0
158768.3	1.6	5.662499999999999	0.1
155185.0	1.6500000000000001	6.3374999999999995	0.2
151170.4	2.0749999999999997	8.975	0.3
142034.2	2.1125000000000003	14.425	0.4
130812.2	1.9124999999999999	12.099999999999998	0.5
122366.30000000002	2.2625	10.375	0.6
116148.1	2.0875	7.4625	0.7
117409.29999999999	2.375	8.25	0.8
119637.40000000001	2.775	9.3625	0.9
122062.59999999999	3.2124999999999995	10.5375	0.99
121352.09999999999	3.0250000000000004	10.1625	1.1
109899.8	1.9	6.5	1.2
112262.1	3.075	9.8125	1.3
113712.2	3.8499999999999996	11.612499999999999	1.4
111201.3	2.9	9.325	1.5
