elapsed	ops_cumul
1.0	1724219.6
2.0	1792329.4
3.0	1811144.7
4.0	1821710.9999999998
5.0	1825119.7
6.0	1827115.8000000003
7.0	1830513.2000000002
8.0	1837158.1
9.0	1845074.0
10.0	1848500.4
11.0	1845030.4000000001
12.0	1824245.3
13.0	1817552.1
14.0	1814338.0
15.0	1810385.4000000001
16.0	1808125.6
17.0	1806725.8000000003
18.0	1806939.2000000002
19.0	1808023.7000000002
20.0	1807992.2999999998
21.0	1808366.7999999998
22.0	1809379.0999999999
23.0	1811236.8
24.0	1811847.8999999997
25.0	1814491.6
26.0	1817352.3000000003
27.0	1819247.8
28.0	1821230.1
29.0	1823169.3
30.0	1824446.3
31.0	1825548.1
32.0	1826876.4
33.0	1828665.4
34.0	1829363.5999999999
35.0	1829518.2999999998
36.0	1829969.0999999999
37.0	1830879.9
38.0	1832353.9
39.0	1833378.7
40.0	1833749.8
41.0	1834497.9
42.0	1835057.9000000001
43.0	1835882.5
44.0	1836610.1
45.0	1840073.5999999999
46.0	1844311.7
47.0	1848272.1
48.0	1854716.6
49.0	1860894.1
50.0	1867292.1
51.0	1873377.3
52.0	1877572.2
53.0	1882579.8
54.0	1887731.3
55.0	1892053.0
56.0	1897116.2
57.0	1901575.5
58.0	1906112.4999999995
59.0	1911158.4
60.0	1915764.2999999998
61.0	1919558.1999999997
62.0	1923789.6
63.0	1928234.9
64.0	1931960.5
65.0	1935835.9
66.0	1939494.9
67.0	1942782.0999999999
68.0	1945925.0
69.0	1949167.6
70.0	1954148.7
71.0	1959105.6
72.0	1964315.9000000001
73.0	1969031.2
74.0	1973899.1999999997
75.0	1978385.4
76.0	1982944.0999999999
77.0	1987555.8
78.0	1991521.2000000002
79.0	1995394.8
80.0	1999382.4
81.0	2003118.3
82.0	2007037.4000000001
83.0	2010491.7
84.0	2013757.6
85.0	2017206.2
86.0	2020570.7
87.0	2023796.6
88.0	2027280.0000000002
89.0	2030504.6
90.0	2034102.6
91.0	2037675.6
92.0	2040524.5
93.0	2043352.5
94.0	2046057.2000000002
95.0	2049389.6
96.0	2052631.9000000001
