elapsed	ops_cumul
1.0	23644.5
2.0	26003.5
3.0	26847.1
4.0	27259.300000000003
5.0	27552.2
6.0	27750.300000000003
7.0	27864.5
8.0	27959.9
9.0	28023.7
10.0	28072.6
11.0	28131.5
12.0	28190.6
13.0	28210.6
14.0	28246.6
15.0	28268.6
16.0	28289.1
17.0	28312.2
18.0	28325.4
19.0	28342.4
20.0	28360.9
21.0	28365.9
22.0	28378.6
23.0	28389.8
24.0	28397.6
25.0	28407.6
26.0	28450.9
27.0	28492.6
28.0	28532.7
29.0	28565.0
30.0	28596.9
31.0	28627.7
32.0	28657.100000000002
33.0	28678.1
34.0	28704.6
35.0	28729.0
36.0	28752.7
37.0	28772.9
38.0	28794.3
39.0	28813.699999999997
40.0	28832.800000000003
41.0	28850.8
42.0	28866.9
43.0	28878.7
44.0	28894.9
45.0	28909.2
46.0	28923.9
47.0	28937.4
48.0	28951.800000000003
49.0	28962.8
50.0	28975.1
51.0	28987.300000000003
52.0	28998.9
53.0	29001.800000000003
54.0	29007.4
55.0	29015.600000000002
56.0	29022.1
57.0	29027.699999999997
58.0	29033.7
59.0	29038.800000000003
60.0	29043.5
61.0	29048.699999999997
62.0	29053.9
63.0	29056.7
64.0	29062.2
65.0	29066.9
66.0	29072.4
67.0	29076.4
68.0	29080.5
69.0	29085.0
70.0	29089.4
71.0	29093.0
72.0	29097.8
73.0	29100.4
74.0	29104.2
75.0	29108.0
76.0	29112.6
77.0	29117.1
78.0	29120.699999999997
79.0	29124.2
80.0	29127.0
81.0	29130.6
82.0	29132.9
83.0	29135.0
84.0	29138.3
85.0	29142.0
86.0	29145.600000000002
87.0	29149.699999999997
88.0	29152.4
89.0	29155.4
90.0	29158.3
91.0	29160.4
92.0	29163.6
93.0	29165.2
94.0	29167.300000000003
95.0	29170.199999999997
96.0	29172.699999999997
97.0	29175.6
98.0	29177.8
99.0	29179.9
100.0	29182.4
101.0	29184.4
102.0	29186.1
103.0	29188.1
104.0	29190.6
105.0	29192.800000000003
106.0	29194.7
107.0	29196.699999999997
108.0	29199.0
109.0	29201.6
110.0	29203.2
111.0	29204.5
112.0	29206.299999999996
113.0	29206.0
114.0	29207.1
115.0	29208.800000000003
116.0	29210.7
117.0	29212.6
118.0	29214.5
119.0	29215.5
120.0	29216.9
121.0	29218.7
122.0	29220.5
123.0	29221.4
124.0	29222.9
125.0	29224.5
126.0	29226.0
127.0	29228.4
128.0	29229.9
129.0	29231.6
130.0	29233.1
131.0	29234.3
132.0	29236.3
133.0	29236.800000000003
134.0	29238.4
135.0	29239.8
136.0	29241.8
137.0	29243.5
138.0	29245.4
139.0	29246.6
140.0	29247.9
141.0	29249.0
142.0	29250.199999999997
143.0	29250.8
144.0	29252.1
145.0	29253.4
146.0	29253.7
147.0	29255.0
148.0	29256.0
149.0	29256.5
150.0	29257.2
151.0	29257.9
152.0	29258.4
153.0	29258.0
154.0	29259.300000000003
155.0	29259.9
156.0	29259.9
157.0	29260.199999999997
158.0	29260.6
159.0	29261.7
160.0	29262.2
161.0	29263.1
162.0	29263.2
163.0	29263.5
164.0	29264.5
165.0	29265.3
166.0	29265.5
167.0	29266.1
168.0	29266.699999999997
169.0	29267.300000000003
170.0	29268.3
171.0	29269.1
172.0	29269.7
173.0	29269.8
174.0	29270.300000000003
175.0	29271.2
176.0	29272.3
177.0	29273.0
178.0	29273.5
179.0	29274.1
180.0	29274.5
181.0	29275.199999999997
182.0	29275.8
183.0	29275.700000000004
184.0	29276.1
185.0	29276.4
186.0	29276.6
187.0	29277.200000000004
188.0	29277.9
189.0	29278.3
190.0	29278.6
191.0	29278.9
192.0	29279.6
193.0	29279.4
194.0	29280.0
195.0	29280.5
196.0	29280.5
197.0	29280.6
198.0	29280.8
199.0	29281.1
200.0	29281.5
201.0	29281.9
202.0	29281.9
203.0	29281.6
204.0	29281.9
205.0	29282.7
206.0	29282.9
207.0	29283.399999999998
208.0	29283.9
209.0	29284.199999999997
210.0	29284.7
211.0	29285.4
212.0	29285.9
213.0	29286.0
214.0	29286.3
215.0	29286.800000000003
216.0	29286.9
217.0	29287.3
218.0	29287.7
219.0	29288.1
220.0	29288.5
221.0	29288.800000000003
222.0	29289.3
223.0	29289.4
224.0	29289.7
225.0	29290.100000000002
226.0	29290.5
227.0	29291.0
228.0	29291.1
229.0	29291.800000000003
230.0	29292.300000000003
231.0	29292.600000000002
232.0	29292.9
233.0	29292.2
234.0	29292.699999999997
235.0	29293.199999999997
236.0	29293.699999999997
237.0	29293.8
238.0	29294.0
239.0	29294.1
240.0	29294.399999999998
241.0	29294.6
242.0	29294.9
243.0	29294.800000000003
244.0	29294.9
245.0	29295.2
246.0	29295.5
247.0	29296.0
248.0	29296.3
249.0	29296.6
250.0	29296.7
251.0	29296.9
252.0	29297.699999999997
253.0	29297.5
254.0	29297.699999999997
255.0	29298.0
256.0	29298.399999999998
257.0	29298.6
258.0	29299.199999999997
259.0	29299.5
260.0	29299.800000000003
261.0	29299.9
262.0	29300.1
263.0	29300.1
264.0	29300.300000000003
265.0	29300.9
266.0	29301.1
267.0	29301.300000000003
268.0	29301.5
269.0	29301.7
270.0	29302.0
271.0	29302.199999999997
272.0	29302.5
273.0	29302.300000000003
274.0	29302.399999999998
275.0	29302.6
276.0	29303.0
277.0	29303.199999999997
278.0	29303.2
279.0	29303.4
280.0	29303.6
281.0	29303.800000000003
282.0	29304.3
283.0	29304.1
284.0	29304.5
285.0	29304.6
286.0	29305.0
287.0	29305.4
288.0	29305.4
289.0	29305.6
290.0	29305.8
291.0	29305.9
292.0	29306.1
293.0	29305.8
294.0	29306.1
295.0	29306.4
296.0	29306.3
297.0	29306.4
298.0	29306.6
299.0	29306.699999999997
300.0	29309.899999999998
