elapsed	ops_cumul
1.0	46990.5
2.0	47875.3
3.0	48233.2
4.0	48173.700000000004
5.0	48094.1
6.0	48149.1
7.0	48203.5
8.0	48266.7
9.0	48293.700000000004
10.0	48305.1
11.0	48278.799999999996
12.0	48445.9
13.0	48828.4
14.0	49404.8
15.0	49833.5
16.0	50261.0
17.0	50619.200000000004
18.0	50948.4
19.0	51280.899999999994
20.0	51553.4
21.0	51820.3
22.0	51979.7
23.0	51875.299999999996
24.0	51890.40000000001
25.0	51902.4
26.0	51920.6
27.0	51955.2
28.0	51974.7
29.0	52000.2
30.0	52002.700000000004
31.0	52014.5
32.0	52025.700000000004
33.0	52051.59999999999
34.0	52060.1
35.0	52066.3
36.0	52075.9
37.0	52093.4
38.0	52091.8
39.0	52091.90000000001
40.0	52101.299999999996
41.0	52104.00000000001
42.0	52111.5
43.0	52116.99999999999
44.0	52141.5
45.0	52142.3
46.0	52137.5
47.0	52136.8
48.0	52137.4
49.0	52141.8
50.0	52140.6
51.0	52140.9
52.0	52140.8
53.0	52141.50000000001
54.0	52140.4
55.0	52127.5
56.0	52130.29999999999
57.0	52147.799999999996
58.0	52166.4
59.0	52190.5
60.0	52204.8
61.0	52226.9
62.0	52249.19999999999
63.0	52268.5
64.0	52288.3
65.0	52303.7
66.0	52321.6
67.0	52339.1
68.0	52359.20000000001
69.0	52370.399999999994
70.0	52385.4
71.0	52398.0
72.0	52414.6
73.0	52432.2
74.0	52444.600000000006
75.0	52462.00000000001
76.0	52478.299999999996
77.0	52491.00000000001
78.0	52507.50000000001
79.0	52524.600000000006
80.0	52535.1
81.0	52546.8
82.0	52557.00000000001
83.0	52570.5
84.0	52581.2
85.0	52583.6
86.0	52601.1
87.0	52621.100000000006
88.0	52636.2
89.0	52651.09999999999
90.0	52667.100000000006
91.0	52688.3
92.0	52708.600000000006
93.0	52728.700000000004
94.0	52744.399999999994
95.0	52759.799999999996
96.0	52778.40000000001
97.0	52793.70000000001
98.0	52808.1
99.0	52826.100000000006
100.0	52841.899999999994
101.0	52856.09999999999
102.0	52869.40000000001
103.0	52883.100000000006
104.0	52896.2
105.0	52910.4
106.0	52921.8
107.0	52933.1
108.0	52948.69999999999
109.0	52964.6
110.0	52977.2
111.0	52989.8
112.0	53004.399999999994
113.0	53017.3
114.0	53027.0
115.0	53032.399999999994
